b total,player total,pcard1,pcard2,pcard3,bcard1,bcard2,bcard3,outcome,rounds,banker streak,player streak,tie streak,shoe number
5,3,2,2,9,2,0,3,banker win,46,2,0,0,26
6,1,9,2,0,5,8,3,banker win,47,3,0,0,26
5,3,3,0,0,5,0,3,banker win,48,4,0,0,26
8,3,0,3,0,2,6,,banker win,49,5,0,0,26
7,7,9,8,,7,0,,tie,50,5,0,1,26
5,6,9,7,,5,0,,player win,51,0,1,0,26
7,9,6,4,9,1,0,6,player win,52,0,2,0,26
7,8,0,8,9,7,0,6,player win,53,0,3,0,26
0,9,0,9,9,5,5,6,player win,54,0,4,0,26
6,7,0,7,,0,2,4,player win,55,0,5,0,26
2,9,9,0,,3,9,4,player win,56,0,6,0,26
3,8,3,0,5,3,0,0,player win,57,0,7,0,26
6,9,0,9,5,6,0,0,player win,58,0,8,0,26
5,9,5,4,5,8,7,0,player win,59,0,9,0,26
9,0,0,0,5,9,0,,banker win,60,1,0,0,26
4,8,0,8,5,6,8,,player win,61,0,1,0,26
9,5,5,0,5,5,4,,banker win,62,1,0,0,26
7,2,0,0,2,3,4,,banker win,63,2,0,0,26
7,1,0,0,1,0,0,7,banker win,64,3,0,0,26
7,8,7,1,1,0,7,7,player win,65,0,1,0,26
6,2,5,6,1,0,6,7,banker win,66,1,0,0,26
9,3,0,3,1,9,0,,banker win,67,2,0,0,26
3,9,3,6,1,5,8,,player win,68,0,1,0,26
0,4,2,0,2,0,1,9,player win,69,0,2,0,26
6,7,0,7,,6,0,9,player win,70,0,3,0,26
1,7,0,7,,0,0,1,player win,71,0,4,0,26
2,9,5,4,,2,0,1,player win,72,0,5,0,26
8,1,7,4,,8,0,,banker win,73,1,0,0,26
1,5,8,7,0,0,3,8,player win,74,0,1,0,26
6,6,7,9,,4,6,6,tie,75,0,1,1,26
9,6,7,9,,8,5,6,banker win,76,1,0,0,26
9,2,3,9,,0,9,,banker win,77,2,0,0,26
4,7,7,0,,0,4,,player win,78,0,1,0,26
5,6,6,0,,4,9,2,player win,79,0,2,0,26
0,3,0,3,0,5,5,0,player win,80,0,3,0,26
9,2,1,1,,0,9,,banker win,1,1,0,0,27
0,6,6,0,,0,0,0,player win,2,0,1,0,27
2,0,0,0,0,0,0,2,banker win,3,1,0,0,27
0,8,8,6,4,1,0,9,player win,4,0,1,0,27
6,9,9,0,4,6,0,9,player win,5,0,2,0,27
4,7,4,3,,4,0,9,player win,6,0,3,0,27
8,3,7,6,,0,8,,banker win,7,1,0,0,27
5,7,9,8,,2,3,,player win,8,0,1,0,27
5,3,0,1,2,0,5,,banker win,9,1,0,0,27
3,3,3,0,0,0,3,0,tie,10,1,0,1,27
0,9,1,8,0,0,0,0,player win,11,0,1,0,27
6,3,1,0,2,1,1,4,banker win,12,1,0,0,27
7,8,8,0,2,9,8,4,player win,13,0,1,0,27
9,0,0,0,2,7,2,,banker win,14,1,0,0,27
2,0,0,0,0,1,1,0,banker win,15,2,0,0,27
1,8,7,1,0,0,1,0,player win,16,0,1,0,27
7,7,5,8,4,4,3,,tie,17,0,1,1,27
6,5,0,2,3,7,9,,banker win,18,1,0,0,27
3,8,4,4,3,6,7,,player win,19,0,1,0,27
5,3,6,7,0,5,0,,banker win,20,1,0,0,27
7,7,7,0,,0,0,4,tie,21,1,0,1,27
7,7,5,7,5,3,0,4,tie,22,1,0,2,27
8,3,0,3,5,8,0,,banker win,23,2,0,0,27
7,6,0,6,,7,0,,banker win,24,3,0,0,27
7,7,3,9,5,5,7,5,tie,25,3,0,1,27
2,7,1,6,,2,0,0,player win,26,0,1,0,27
3,9,0,2,7,0,3,0,player win,27,0,2,0,27
4,2,0,0,2,3,0,0,banker win,28,1,0,0,27
7,8,0,5,3,6,5,6,player win,29,0,1,0,27
0,9,9,0,3,0,0,6,player win,30,0,2,0,27
4,9,8,3,8,4,8,2,player win,31,0,3,0,27
5,3,2,1,0,5,0,2,banker win,32,1,0,0,27
6,7,7,0,,0,6,2,player win,33,0,1,0,27
1,9,0,9,,2,9,2,player win,34,0,2,0,27
9,3,5,8,,9,0,,banker win,35,1,0,0,27
9,3,5,6,2,0,3,6,banker win,36,2,0,0,27
5,8,4,0,4,3,2,0,player win,37,0,1,0,27
3,7,5,6,6,8,6,7,player win,38,0,2,0,27
8,7,7,0,,9,9,,banker win,39,1,0,0,27
6,1,3,8,0,1,5,,banker win,40,2,0,0,27
8,7,0,7,,3,5,,banker win,41,3,0,0,27
8,4,0,4,,0,8,,banker win,42,4,0,0,27
1,6,5,1,,0,0,8,player win,43,0,1,0,27
9,4,4,0,,7,2,,banker win,44,1,0,0,27
0,8,1,7,,0,0,,player win,45,0,1,0,27
6,3,1,4,8,6,0,,banker win,46,1,0,0,27
2,9,2,7,8,2,0,,player win,47,0,1,0,27
0,2,9,4,9,1,1,8,player win,48,0,2,0,27
7,0,0,0,0,4,3,,banker win,49,1,0,0,27
8,1,1,0,0,3,5,,banker win,50,2,0,0,27
9,1,4,0,7,3,0,6,banker win,51,3,0,0,27
0,6,6,0,,0,0,0,player win,52,0,1,0,27
7,5,2,9,4,7,5,5,banker win,53,1,0,0,27
7,7,7,0,,3,4,,tie,54,1,0,1,27
9,0,6,4,,9,0,,banker win,55,2,0,0,27
7,0,3,9,8,3,9,5,banker win,56,3,0,0,27
8,1,1,0,8,2,6,,banker win,57,4,0,0,27
7,7,3,9,5,0,0,7,tie,58,4,0,1,27
0,8,8,0,5,0,0,7,player win,59,0,1,0,27
4,2,2,0,0,6,8,7,banker win,60,1,0,0,27
2,8,0,8,0,2,0,7,player win,61,0,1,0,27
6,6,1,5,,0,6,7,tie,62,0,1,1,27
1,6,5,1,,9,1,1,player win,63,0,2,0,27
1,9,9,4,6,9,7,5,player win,64,0,3,0,27
4,8,4,4,6,0,4,5,player win,65,0,4,0,27
6,3,5,9,9,4,2,5,banker win,66,1,0,0,27
3,8,8,0,9,3,0,5,player win,67,0,1,0,27
6,6,1,5,,6,0,5,tie,68,0,1,1,27
3,9,9,0,,7,6,5,player win,69,0,2,0,27
7,3,5,8,0,7,0,,banker win,70,1,0,0,27
8,9,7,6,6,7,4,7,player win,71,0,1,0,27
8,2,3,9,6,0,8,,banker win,72,1,0,0,27
8,9,7,2,,8,0,,player win,73,0,1,0,27
5,9,0,0,9,9,6,,player win,74,0,2,0,27
7,8,3,5,9,6,1,,player win,75,0,3,0,27
0,2,2,0,0,0,0,0,player win,76,0,4,0,27
8,0,2,8,0,6,2,,banker win,77,1,0,0,27
1,9,2,0,7,3,8,0,player win,78,0,1,0,27
2,2,5,9,8,0,0,2,tie,79,0,1,1,27
9,9,7,2,,9,0,,tie,80,0,1,2,27
9,4,0,4,,0,9,,banker win,81,1,0,0,27
8,2,5,0,7,4,1,3,banker win,82,2,0,0,27
9,3,2,1,,0,9,,banker win,1,1,0,0,28
7,4,0,2,2,9,8,,banker win,2,2,0,0,28
5,9,4,6,9,1,2,2,player win,3,0,1,0,28
5,2,3,2,7,0,5,0,banker win,4,1,0,0,28
0,2,4,8,0,0,0,0,player win,5,0,1,0,28
1,9,8,1,0,4,7,0,player win,6,0,2,0,28
4,3,1,4,8,8,6,0,banker win,7,1,0,0,28
0,7,7,0,,2,8,0,player win,8,0,1,0,28
7,9,9,0,,4,3,0,player win,9,0,2,0,28
8,0,0,0,,6,2,,banker win,10,1,0,0,28
7,0,9,5,6,0,7,,banker win,11,2,0,0,28
2,6,0,0,6,1,1,0,player win,12,0,1,0,28
8,4,7,4,3,1,0,7,banker win,13,1,0,0,28
7,6,6,0,,5,5,7,banker win,14,2,0,0,28
6,4,8,5,1,2,1,3,banker win,15,3,0,0,28
4,7,5,2,,0,4,3,player win,16,0,1,0,28
1,9,1,8,,8,3,3,player win,17,0,2,0,28
4,1,4,7,0,0,4,3,banker win,18,1,0,0,28
7,9,9,5,5,8,9,,player win,19,0,1,0,28
4,6,5,1,,8,2,4,player win,20,0,2,0,28
6,0,8,3,9,7,9,4,banker win,21,1,0,0,28
8,6,4,2,,7,3,8,banker win,22,2,0,0,28
4,1,0,0,1,0,4,8,banker win,23,3,0,0,28
7,4,5,0,9,9,3,5,banker win,24,4,0,0,28
7,9,0,0,9,0,0,7,player win,25,0,1,0,28
8,2,9,1,2,0,0,8,banker win,26,1,0,0,28
7,6,4,2,,0,7,,banker win,27,2,0,0,28
5,4,0,2,2,5,0,,banker win,28,3,0,0,28
9,1,1,0,2,5,4,,banker win,29,4,0,0,28
1,5,2,3,0,8,5,8,player win,30,0,1,0,28
8,9,9,0,,2,6,,player win,31,0,2,0,28
5,9,0,9,,0,5,,player win,32,0,3,0,28
0,3,0,0,3,2,0,8,player win,33,0,4,0,28
4,8,2,6,3,4,0,8,player win,34,0,5,0,28
8,7,7,4,6,0,3,5,banker win,35,1,0,0,28
8,7,7,0,,1,0,7,banker win,36,2,0,0,28
9,7,0,7,,9,2,8,banker win,37,3,0,0,28
3,8,7,6,5,3,0,0,player win,38,0,1,0,28
2,1,0,0,1,0,2,0,banker win,39,1,0,0,28
4,9,0,0,9,0,4,0,player win,40,0,1,0,28
2,6,3,7,6,0,3,9,player win,41,0,2,0,28
4,3,6,7,0,0,4,9,banker win,42,1,0,0,28
2,9,8,5,6,1,0,1,player win,43,0,1,0,28
7,0,0,0,0,3,4,,banker win,44,1,0,0,28
9,6,6,0,,0,9,,banker win,45,2,0,0,28
6,0,6,4,0,5,1,,banker win,46,3,0,0,28
2,7,0,7,,2,0,0,player win,47,0,1,0,28
8,0,7,3,,9,9,,banker win,48,1,0,0,28
9,9,4,0,5,1,0,8,tie,49,1,0,1,28
5,8,7,1,5,7,8,8,player win,50,0,1,0,28
5,6,6,0,,5,0,8,player win,51,0,2,0,28
4,7,4,6,7,6,0,8,player win,52,0,3,0,28
4,9,0,3,6,0,0,0,player win,53,0,4,0,28
6,9,0,9,6,5,1,0,player win,54,0,5,0,28
9,1,2,8,1,3,0,6,banker win,55,1,0,0,28
4,5,0,4,1,4,0,6,player win,56,0,1,0,28
1,9,6,3,1,0,1,6,player win,57,0,2,0,28
6,8,7,1,1,6,0,6,player win,58,0,3,0,28
9,7,4,3,,5,4,,banker win,59,1,0,0,28
0,6,1,1,4,0,0,0,player win,60,0,1,0,28
9,4,0,4,0,1,0,8,banker win,61,1,0,0,28
2,9,8,1,0,5,7,8,player win,62,0,1,0,28
2,1,2,9,0,6,6,0,banker win,63,1,0,0,28
2,9,9,0,0,9,3,0,player win,64,0,1,0,28
8,0,0,0,0,3,0,5,banker win,65,1,0,0,28
4,1,3,1,7,3,2,9,banker win,66,2,0,0,28
5,3,0,4,9,2,8,5,banker win,67,3,0,0,28
5,9,0,9,9,0,5,5,player win,68,0,1,0,28
7,7,2,5,,7,0,,tie,69,0,1,1,28
5,3,3,0,0,9,6,,banker win,70,1,0,0,28
8,7,2,2,3,0,0,8,banker win,71,2,0,0,28
7,1,0,1,0,0,7,,banker win,72,3,0,0,28
1,8,8,0,0,8,3,,player win,73,0,1,0,28
9,7,7,0,,6,3,,banker win,74,1,0,0,28
6,7,5,2,,0,6,,player win,75,0,1,0,28
9,5,9,6,0,0,0,6,banker win,76,1,0,0,28
6,9,0,0,9,9,7,6,player win,77,0,1,0,28
0,1,8,3,0,0,0,0,player win,78,0,2,0,28
0,8,0,8,,0,0,,player win,1,0,1,0,29
0,8,2,6,,2,8,,player win,2,0,2,0,29
0,9,5,4,,0,0,,player win,3,0,3,0,29
2,7,4,8,5,3,0,8,player win,4,0,4,0,29
7,5,8,3,4,7,0,,banker win,5,1,0,0,29
9,7,7,0,,1,8,,banker win,6,2,0,0,29
5,4,3,1,0,1,9,5,banker win,7,3,0,0,29
3,8,0,0,8,0,3,5,player win,8,0,1,0,29
3,6,8,8,,3,0,0,player win,9,0,2,0,29
1,9,0,9,,4,7,0,player win,10,0,3,0,29
8,0,0,0,,1,7,,banker win,11,1,0,0,29
7,5,2,0,3,9,8,,banker win,12,2,0,0,29
7,6,9,7,,6,5,6,banker win,13,3,0,0,29
2,7,0,1,6,0,2,0,player win,14,0,1,0,29
8,9,1,1,7,0,0,8,player win,15,0,2,0,29
5,4,5,9,0,6,5,4,banker win,16,1,0,0,29
5,6,1,2,3,6,7,2,player win,17,0,1,0,29
3,8,0,1,7,5,9,9,player win,18,0,2,0,29
2,0,0,0,0,0,0,2,banker win,19,1,0,0,29
2,2,8,6,8,0,2,0,tie,20,1,0,1,29
9,3,0,4,9,2,9,8,banker win,21,2,0,0,29
5,6,0,6,,0,5,8,player win,22,0,1,0,29
7,4,7,4,3,6,4,7,banker win,23,1,0,0,29
5,1,3,8,0,0,0,5,banker win,24,2,0,0,29
4,7,3,4,,9,4,1,player win,25,0,1,0,29
8,7,0,7,,8,0,,banker win,26,1,0,0,29
7,7,5,0,2,5,2,,tie,27,1,0,1,29
8,2,8,4,0,5,5,8,banker win,28,2,0,0,29
9,0,0,0,0,6,3,,banker win,29,3,0,0,29
5,9,0,9,0,5,0,,player win,30,0,1,0,29
5,8,0,0,8,5,0,,player win,31,0,2,0,29
7,2,8,4,0,7,0,,banker win,32,1,0,0,29
3,3,0,0,3,2,1,0,tie,33,1,0,1,29
7,7,6,1,,0,7,,tie,34,1,0,2,29
9,3,0,0,3,4,6,9,banker win,35,2,0,0,29
0,7,7,4,6,0,0,0,player win,36,0,1,0,29
6,8,3,5,6,2,4,0,player win,37,0,2,0,29
5,1,5,6,0,5,0,0,banker win,38,1,0,0,29
0,9,6,3,0,0,0,0,player win,39,0,1,0,29
7,7,8,4,5,1,0,4,tie,40,0,1,1,29
8,6,4,2,,3,5,,banker win,41,1,0,0,29
9,4,6,8,,7,2,,banker win,42,2,0,0,29
6,8,8,0,,7,9,,player win,43,0,1,0,29
6,9,4,0,5,4,7,5,player win,44,0,2,0,29
8,4,5,9,5,6,2,,banker win,45,1,0,0,29
6,1,1,0,0,0,6,,banker win,46,2,0,0,29
9,6,0,6,,0,9,,banker win,47,3,0,0,29
9,1,3,9,9,1,1,7,banker win,48,4,0,0,29
2,6,6,5,5,3,2,7,player win,49,0,1,0,29
1,9,9,0,5,1,0,7,player win,50,0,2,0,29
6,9,0,9,5,7,9,7,player win,51,0,3,0,29
5,9,6,3,5,1,4,7,player win,52,0,4,0,29
8,0,0,0,5,0,8,,banker win,53,1,0,0,29
7,7,6,1,,9,8,,tie,54,1,0,1,29
0,0,0,0,0,5,6,9,tie,55,1,0,2,29
0,7,4,1,2,2,0,8,player win,56,0,1,0,29
5,9,7,2,2,0,5,8,player win,57,0,2,0,29
8,2,3,9,2,3,5,,banker win,58,1,0,0,29
3,8,8,0,2,3,0,,player win,59,0,1,0,29
9,0,0,0,2,9,0,,banker win,60,1,0,0,29
7,7,0,7,,4,3,,tie,61,1,0,1,29
9,0,0,0,0,0,0,9,banker win,62,2,0,0,29
3,2,4,0,8,0,0,3,banker win,63,3,0,0,29
5,8,5,0,3,6,9,3,player win,64,0,1,0,29
9,9,0,9,,0,9,,tie,65,0,1,1,29
5,6,2,4,,3,2,,player win,66,0,2,0,29
6,8,4,4,,0,6,,player win,67,0,3,0,29
5,4,5,7,2,1,4,,banker win,68,1,0,0,29
0,4,0,1,3,0,0,6,player win,69,0,1,0,29
9,2,1,1,3,8,1,,banker win,70,1,0,0,29
6,6,5,1,,0,6,,tie,71,1,0,1,29
9,1,0,4,7,2,0,7,banker win,72,2,0,0,29
4,6,9,7,,2,2,7,player win,73,0,1,0,29
1,8,0,8,,1,0,7,player win,74,0,2,0,29
9,2,2,0,,8,1,,banker win,75,1,0,0,29
1,6,1,9,6,4,7,0,player win,76,0,1,0,29
7,0,3,0,7,0,7,,banker win,77,1,0,0,29
6,8,0,0,8,6,0,,player win,78,0,1,0,29
1,8,2,6,8,0,1,,player win,79,0,2,0,29
6,6,6,0,,7,9,,tie,80,0,2,1,29
4,8,8,0,,3,1,,player win,1,0,1,0,30
4,3,3,2,8,4,0,,banker win,2,1,0,0,30
3,5,0,3,2,3,0,0,player win,3,0,1,0,30
6,1,1,0,0,1,5,0,banker win,4,1,0,0,30
0,7,6,6,5,0,0,0,player win,5,0,1,0,30
3,5,3,1,1,0,0,0,player win,6,0,2,0,30
9,0,0,3,7,8,4,7,banker win,7,1,0,0,30
7,2,9,2,1,0,7,,banker win,8,2,0,0,30
5,4,6,9,9,1,9,5,banker win,9,3,0,0,30
1,4,0,4,0,8,3,0,player win,10,0,1,0,30
5,6,0,6,,1,4,0,player win,11,0,2,0,30
9,5,2,0,3,9,5,5,banker win,12,1,0,0,30
0,8,8,0,3,0,0,5,player win,13,0,1,0,30
8,2,4,8,3,6,2,,banker win,14,1,0,0,30
8,8,0,8,,0,8,,tie,15,1,0,1,30
2,1,1,0,0,9,2,1,banker win,16,2,0,0,30
9,5,2,0,3,2,2,5,banker win,17,3,0,0,30
7,9,5,5,9,7,0,,player win,18,0,1,0,30
8,8,0,8,,6,2,,tie,19,0,1,1,30
2,0,0,1,9,3,9,0,banker win,20,1,0,0,30
9,2,0,0,2,9,4,6,banker win,21,2,0,0,30
4,8,5,3,2,5,9,6,player win,22,0,1,0,30
8,3,9,4,0,8,4,6,banker win,23,1,0,0,30
5,9,7,2,0,8,7,6,player win,24,0,1,0,30
8,6,9,7,,0,8,,banker win,25,1,0,0,30
6,6,0,5,1,5,1,,tie,26,1,0,1,30
8,5,3,2,1,6,2,,banker win,27,2,0,0,30
4,0,0,0,0,6,8,,banker win,28,3,0,0,30
3,9,3,6,0,3,0,,player win,29,0,1,0,30
9,4,4,0,0,6,3,,banker win,30,1,0,0,30
2,8,4,0,4,1,4,7,player win,31,0,1,0,30
7,2,2,0,0,7,0,,banker win,32,1,0,0,30
5,6,2,4,,0,5,,player win,33,0,1,0,30
1,1,0,3,8,5,6,0,tie,34,0,1,1,30
7,3,3,9,1,0,7,,banker win,35,1,0,0,30
0,3,4,9,0,0,0,0,player win,36,0,1,0,30
4,6,7,6,3,0,0,0,player win,37,0,2,0,30
8,4,6,8,3,0,8,,banker win,38,1,0,0,30
6,6,0,3,3,7,7,2,tie,39,1,0,1,30
8,9,9,0,,1,7,,player win,40,0,1,0,30
6,0,9,1,0,6,0,,banker win,41,1,0,0,30
5,9,4,5,0,3,2,,player win,42,0,1,0,30
8,7,5,2,,0,3,5,banker win,43,1,0,0,30
2,5,7,4,4,5,5,2,player win,44,0,1,0,30
1,7,1,6,,4,9,8,player win,45,0,2,0,30
9,1,0,1,,7,2,,banker win,46,1,0,0,30
6,1,8,4,9,9,7,,banker win,47,2,0,0,30
4,2,8,4,0,4,0,,banker win,48,3,0,0,30
9,8,0,8,,8,1,,banker win,49,4,0,0,30
7,4,0,0,4,4,3,,banker win,50,5,0,0,30
1,1,9,5,7,0,2,9,tie,51,5,0,1,30
8,3,3,7,3,7,6,5,banker win,52,6,0,0,30
0,7,0,0,7,0,0,0,player win,53,0,1,0,30
6,9,4,5,7,1,5,0,player win,54,0,2,0,30
6,6,7,4,5,1,5,0,tie,55,0,2,1,30
9,5,5,0,5,9,0,,banker win,56,1,0,0,30
7,5,4,1,0,4,3,,banker win,57,2,0,0,30
2,5,0,0,5,2,0,0,player win,58,0,1,0,30
8,0,2,8,5,6,2,,banker win,59,1,0,0,30
1,3,9,6,8,0,0,1,player win,60,0,1,0,30
8,5,2,3,8,0,8,,banker win,61,1,0,0,30
5,3,0,0,3,4,1,,banker win,62,2,0,0,30
9,6,7,9,,9,0,,banker win,63,3,0,0,30
2,7,0,7,,2,0,0,player win,64,0,1,0,30
5,6,6,0,,5,0,0,player win,65,0,2,0,30
8,0,0,0,,8,0,,banker win,66,1,0,0,30
9,2,2,0,,9,0,,banker win,67,2,0,0,30
7,8,2,1,5,7,0,,player win,68,0,1,0,30
1,1,0,4,7,1,0,0,tie,69,0,1,1,30
5,3,1,2,0,5,0,0,banker win,70,1,0,0,30
6,9,0,0,9,6,0,0,player win,71,0,1,0,30
8,3,0,3,9,0,8,,banker win,72,1,0,0,30
9,0,6,8,6,1,1,7,banker win,73,2,0,0,30
2,8,2,6,6,6,6,7,player win,74,0,1,0,30
8,6,9,7,,0,8,,banker win,75,1,0,0,30
0,6,6,0,,0,0,0,player win,76,0,1,0,30
7,0,0,0,0,5,8,4,banker win,77,1,0,0,30
8,6,0,6,,7,1,,banker win,78,2,0,0,30
2,4,7,7,0,0,2,0,player win,79,0,1,0,30
7,4,0,4,0,8,9,,banker win,80,1,0,0,30
0,2,7,5,0,0,0,0,player win,1,0,1,0,31
9,2,0,2,0,1,8,,banker win,2,1,0,0,31
3,8,0,3,5,3,2,8,player win,3,0,1,0,31
5,4,3,1,0,5,0,8,banker win,4,1,0,0,31
2,7,2,0,5,7,7,8,player win,5,0,1,0,31
5,5,0,0,5,0,0,0,tie,6,0,1,1,31
4,1,4,7,0,1,0,3,banker win,7,1,0,0,31
2,2,9,6,7,9,1,2,tie,8,1,0,1,31
5,6,2,4,,9,4,2,player win,9,0,1,0,31
9,9,4,5,,9,0,,tie,10,0,1,1,31
7,5,6,8,1,9,8,,banker win,11,1,0,0,31
6,1,1,0,0,6,0,,banker win,12,2,0,0,31
3,7,3,4,,3,0,0,player win,13,0,1,0,31
9,2,0,3,9,3,7,9,banker win,14,1,0,0,31
6,4,4,1,9,6,0,9,banker win,15,2,0,0,31
5,4,0,4,0,5,0,9,banker win,16,3,0,0,31
0,6,3,3,,8,2,0,player win,17,0,1,0,31
7,6,3,0,3,6,1,,banker win,18,1,0,0,31
7,3,6,9,8,7,0,,banker win,19,2,0,0,31
5,7,7,0,,6,9,,player win,20,0,1,0,31
2,6,1,5,,7,6,9,player win,21,0,2,0,31
0,8,7,1,,0,0,9,player win,22,0,3,0,31
4,1,0,4,7,2,2,0,banker win,23,1,0,0,31
7,6,2,0,4,7,0,,banker win,24,2,0,0,31
6,0,0,0,0,0,3,3,banker win,25,3,0,0,31
0,8,0,8,0,9,1,3,player win,26,0,1,0,31
1,8,0,2,6,0,3,8,player win,27,0,2,0,31
2,0,0,0,0,9,2,1,banker win,28,1,0,0,31
9,9,9,0,,0,9,,tie,29,1,0,1,31
7,7,2,5,,7,0,,tie,30,1,0,2,31
3,0,0,0,0,5,8,0,banker win,31,2,0,0,31
0,8,8,0,0,0,0,0,player win,32,0,1,0,31
8,6,2,4,,0,8,,banker win,33,1,0,0,31
8,6,0,6,,0,8,,banker win,34,2,0,0,31
0,7,8,9,,3,7,0,player win,35,0,1,0,31
6,6,8,3,5,4,2,0,tie,36,0,1,1,31
5,9,0,9,5,2,3,0,player win,37,0,2,0,31
4,1,9,2,0,4,0,0,banker win,38,1,0,0,31
8,1,5,6,0,6,2,,banker win,39,2,0,0,31
6,6,1,5,,6,0,,tie,40,2,0,1,31
0,7,0,7,,6,4,0,player win,41,0,1,0,31
7,3,0,5,8,7,0,,banker win,42,1,0,0,31
0,3,7,4,2,1,9,0,player win,43,0,1,0,31
1,8,6,2,2,1,0,0,player win,44,0,2,0,31
4,7,8,9,,6,8,0,player win,45,0,3,0,31
1,7,0,7,,0,3,8,player win,46,0,4,0,31
8,9,9,0,,8,0,,player win,47,0,5,0,31
1,5,5,0,0,6,7,8,player win,48,0,6,0,31
9,7,2,5,,0,0,9,banker win,49,1,0,0,31
4,0,0,0,0,4,0,9,banker win,50,2,0,0,31
7,2,5,6,1,3,4,,banker win,51,3,0,0,31
6,9,1,8,1,5,1,,player win,52,0,1,0,31
6,7,5,2,,9,7,,player win,53,0,2,0,31
5,4,1,3,0,5,0,,banker win,54,1,0,0,31
4,7,0,7,,9,1,4,player win,55,0,1,0,31
9,8,3,0,5,1,0,8,banker win,56,1,0,0,31
0,0,4,1,5,4,1,5,tie,57,1,0,1,31
7,2,5,0,7,7,0,,banker win,58,2,0,0,31
8,6,0,6,,3,5,,banker win,59,3,0,0,31
5,7,0,7,,0,0,5,player win,60,0,1,0,31
0,0,4,0,6,0,2,8,tie,61,0,1,1,31
6,3,9,4,0,1,9,6,banker win,62,1,0,0,31
6,6,6,0,,0,6,6,tie,63,1,0,1,31
7,1,3,8,0,5,5,7,banker win,64,2,0,0,31
6,6,0,6,,2,4,7,tie,65,2,0,1,31
8,1,0,1,,8,0,,banker win,66,3,0,0,31
7,5,4,0,1,7,6,4,banker win,67,4,0,0,31
4,3,6,7,0,8,6,4,banker win,68,5,0,0,31
2,9,4,9,6,4,7,1,player win,69,0,1,0,31
4,4,0,4,0,0,4,1,tie,70,0,1,1,31
7,1,0,3,8,0,7,,banker win,71,1,0,0,31
7,8,0,8,8,4,3,,player win,72,0,1,0,31
4,0,0,0,0,4,0,,banker win,73,1,0,0,31
5,4,2,0,2,5,0,,banker win,74,2,0,0,31
4,6,0,0,6,6,9,9,player win,75,0,1,0,31
9,8,0,8,,8,1,,banker win,76,1,0,0,31
7,6,0,6,,0,7,,banker win,77,2,0,0,31
4,8,0,8,,2,2,,player win,78,0,1,0,31
2,9,5,5,9,0,0,2,player win,79,0,2,0,31
4,7,4,3,,3,1,2,player win,80,0,3,0,31
6,8,8,0,,0,6,,player win,1,0,1,0,32
4,0,0,0,0,0,1,3,banker win,2,1,0,0,32
4,4,5,9,0,9,5,3,tie,3,1,0,1,32
9,3,3,0,0,3,6,,banker win,4,2,0,0,32
7,8,7,4,7,7,0,,player win,5,0,1,0,32
9,3,2,1,7,4,5,,banker win,6,1,0,0,32
6,9,1,0,8,5,1,,player win,7,0,1,0,32
6,4,0,4,0,5,1,,banker win,8,1,0,0,32
2,6,1,5,,2,0,0,player win,9,0,1,0,32
1,7,8,6,3,0,1,0,player win,10,0,2,0,32
4,3,1,0,2,4,0,0,banker win,11,1,0,0,32
1,4,2,2,0,0,1,0,player win,12,0,1,0,32
0,1,0,0,1,5,8,7,player win,13,0,2,0,32
7,7,4,0,3,3,1,3,tie,14,0,2,1,32
4,6,0,5,1,9,5,3,player win,15,0,3,0,32
2,8,5,6,7,8,4,0,player win,16,0,4,0,32
4,6,9,7,,3,8,3,player win,17,0,5,0,32
8,6,5,1,,5,3,,banker win,18,1,0,0,32
7,8,0,8,,0,7,,player win,19,0,1,0,32
0,2,0,2,0,0,0,0,player win,20,0,2,0,32
4,0,0,0,0,9,5,0,banker win,21,1,0,0,32
1,9,0,0,9,0,0,8,player win,22,0,1,0,32
2,5,0,0,5,2,0,0,player win,23,0,2,0,32
5,4,4,0,0,7,8,0,banker win,24,1,0,0,32
9,4,2,0,2,2,1,6,banker win,25,2,0,0,32
4,0,8,2,0,0,0,4,banker win,26,3,0,0,32
3,5,6,9,0,8,5,0,player win,27,0,1,0,32
2,4,7,7,0,1,0,1,player win,28,0,2,0,32
7,6,7,3,6,0,0,1,banker win,29,1,0,0,32
5,7,0,7,,5,6,4,player win,30,0,1,0,32
7,0,7,5,8,4,3,,banker win,31,1,0,0,32
6,5,2,0,3,0,6,,banker win,32,2,0,0,32
0,4,0,4,0,0,0,0,player win,33,0,1,0,32
3,6,4,2,,4,9,0,player win,34,0,2,0,32
8,9,2,7,,5,3,,player win,35,0,3,0,32
0,0,5,0,5,3,9,8,tie,36,0,3,1,32
4,7,1,6,,3,0,1,player win,37,0,4,0,32
9,3,0,3,,9,0,,banker win,38,1,0,0,32
7,2,4,8,0,7,0,,banker win,39,2,0,0,32
9,0,8,2,0,0,9,,banker win,40,3,0,0,32
8,0,4,8,8,0,1,7,banker win,41,4,0,0,32
5,7,5,2,,5,8,2,player win,42,0,1,0,32
6,8,9,5,4,6,0,2,player win,43,0,2,0,32
8,9,9,0,,3,5,,player win,44,0,3,0,32
1,8,8,0,,4,7,,player win,45,0,4,0,32
8,9,0,9,,3,5,,player win,46,0,5,0,32
8,8,7,1,,6,2,,tie,47,0,5,1,32
9,5,5,6,4,0,0,9,banker win,48,1,0,0,32
8,2,3,9,4,0,8,,banker win,49,2,0,0,32
